DATASET,DATA_ID,STUDY_PART,TEXT,GROUND_TRUTH_LABEL
deliberation-sarcasm,19208,breadth and depth,"Product: Dyson DC25 Animal Ball-Technology Upright Vacuum Cleaner (Kitchen)Review Title: ""Don't Believe the Hype""I purchased one yesterday and was very excited to try it out.  It was so cool looking and easy to manuver.  I eagerly turned on the machine and made a few easy strokes..... huh? Something must be wrong.  It didn't even erase the footprints in the carpet and the suction was ok at best.  I switched off the brush bar and looked in the end, nothing was wrong.  I called customer service and after about 15 minutes on the phone with them figured out it was working properly. What the heck? I expected this thing to suck so hard that it would lift the carpet and create perfecty groomed rows of nap...like a freshly plowed field.  Not even close it barely even combed the top of the fibers.  Problem #1-No height adjustment for the brush bar.  It barely even touches the carpet.  Not enough to even give you that ""just vacuumed"" look.  Talk about a suction leak. Problem #2-It doesn't have very good sucking power.  My old Bissel sucked 2x as hard as this dyson.  Even the guy on the customer care line said it only moved about 50CFM of air compared to my old vacuum that moved much much more.   Don't belive the marketing hype.  It's not worth the money.  Ever wonder why consumer reports ranks the cleaning ability of the Dyson as average?  Because it is.  Consumer reports is dead on in their review.  It's just not that good of a cleaner. Sure it looks cool and you can park it in the driveway to impress your neighbors... but as far as cleaning my carpets, this vacuum sucks - Not in a good way. I took it back to the store a few hours later and got my money back.  If I want a vacuum that cleans just OK then I'm not going to pay [...] bucks.  The 99 dollar ones at Target work just as good, if not better.",
deliberation-sarcasm,19211,breadth,"Product: Can You Keep a Secret? (Hardcover)Review Title: ""If  you thought the TV show Friends was FABULOUS, you'll love this....""But if not, you'll be bored silly by this book. I know I was. I've rarely stopped reading a book before reaching the end, but I was sooo close with this one. The only reason I kept reading was because of all the 5 star ratings I saw here. I thought, surely, it must get better. It has to! I was waiting for all the 'laugh out loud' moments that everyone was talking about but they never appeared. My advice: if you're not laughing away midway through, abandon ship! It doesn't get any better. In fact it gets worse.  To be honest, I tend to read more serious stuff. I've read a couple really great 'chick lit' books but this one really falls short.  I picked it up at the library  in search of a quick light read. I didn't find it such a quick read because I just couldn't get into it. And yes, it's light but really dull and well, for me anyway, boring.  Where do I start with what I disliked about this book? The characters are flimsy caricatures -- completely unbelievable and they're all so irritatingly thick. The dialogue never really goes anywhere. Emma has this completely irritating habit of starting every other sentence with ""er, uh, um...."" Whatever laughs there are are so belaboured that they're just not funny anymore. For instance, the big scene where Jack spews all of Emma's secrets & her colleagues respond in shock to every single darned one goes on for some 4 pages ('You're really a size  6?' 'You have a  Barbie bedspread?' 'You hate crochet?' bla bla bla...) Boy, funny stuff. You already know what all of them are anyway, so there's just no sense of suspense or tension. And in general, you know what's going to happen ages before it does, so as I was reading I kept thinking 'oh come on, get on with it already!' I found the writing style just plain flat and uninspiring. There's just no depth of any kind. Worst of all, the plot line is so contrived.  I completely get why Emma would think she was 'madly' in love with Jack after just a couple dates but what's Jack's deal? Are we really supposed to believe that some multi-millionaire CEO would fall in love with this ditzy, dim junior employee who is easily what, 20 years his junior? Riiiight. And Jack's 'big secret'? Now THAT made me laugh because it was just soo silly! And the sappy ending? Yuck!  Sorry, I just could not recommend this one unless you were shipwrecked on an deserted island with absolutely positively nothing else to do and even then, maybe not. I truly am baffled by all the rave reviews here. It reads more like a teen novel than something for adults --  very, very, very sophmoric. Anyway, you get the point. I really didn't like it.   I would, however, like to recommend 2 other chick lit books that surpass this one by miles. The Other Side of the  Story by Marian Keyes is an incredibly witty, smart, sparkly, genuine laugh-out-loud book. I couldn't  put it down and although it's long, I was disappointed when I was done because I wanted more. Girl's Poker Night by Jill Davis is another very funny, very bright book. Both of these books are everything I think this one hoped to be.",
deliberation-sarcasm,19213,breadth,"Product: If Democrats Had Any Brains, They'd Be Republicans (Paperback)Review Title: ""If you find Ann attractive...""Ann always looks like a hooker on the cover of her books.  If you find her attractive, I recommend going to the bookstore and ripping off the cover of the book when no one is looking.  You can hang it on your wall or carry it with you and look longingly at her when you get bored--but save your money and your time....don't bother reading this book.",
deliberation-sarcasm,19214,breadth,"Product: Gravis Eliminator GamePad Pro  (PC/USB Mac) (Electronics)Review Title: ""Durablity Stinks""Maybe it's just me, but in about 1 or 2 months, the paint started coming off the joystick/pad with only the face of my thmb (no scratching).  Also, about a week later, It just stopped.  It died, no longer worked.  I took it apart and nothing was loose. I think the circuts got messed up.  Basically, if you are planning to do anything other than look at this gamepad, which isn't too pretty anway, don't purchase this (unless somebody pays you to do it)",
deliberation-sarcasm,19223,breadth,"Product: The Brothers (DVD)Review Title: ""Glorified fornication passing for a movie!!""We take turns in book and movie reviews. Here is my say on this so-called movie/dvd. The only way to enjoy this dvd is with the sound turned completely off. That's right, just watch the entire movies in silence. At least your eyes will enjoy what will otherwise torture your ears and mind. Let's see what your ears/mind would miss. (I wish mine had.) Marital breakup over oral sex. Hmmm, oh, father and son dating same female (there are old testament laws against such). Black males and black females can't get along, what's new. And the big mouth no-talent d.l. hughley, yuck. I knew something was wrong when all my bookclub member could say about this movie is ""uh, well morris chestnut is fine."" I mean that's all she could say. Save your money on this dvd and buy a poster of Morris Chestnut, it's less expensive on time and money and mentality.",
deliberation-sarcasm,19224,breadth,"Product: Slap Chop (Kitchen)Review Title: ""You're gonna love my nuts.... or are you?""As Vince says in the commercial ""you're gonna love my nuts"" but the slap chop doesn't do a very good job of chopping them. This thing is flimsy and cheap. It has a hard time chopping foods with peels. Food goes everywhere and gets stuck in the blades. I don't recommend this TV product.",
deliberation-sarcasm,19225,breadth and depth,"Product: Flexees Women's One Fabulous Body II Lace Cami #77340 (Apparel)Review Title: ""Comfortable and Looks Very Good In Black""I bought this outfit for my brother, but he doesn't wear anything in black when he works out in the gym. I was going to return it and my uncle said he's try it on.  He looks stunning in it, considering his age. My aunt got jealous and now I have to buy her one too!",
deliberation-sarcasm,19226,breadth,"Product: Melitta One:One Java Pods, Love At First Sip Medium Roast Coffee, 18-Count Pods (Pack of 4) (Grocery)Review Title: ""Love at First Sip? Not.""I didn't like this at all, it had a really funky taste. I tried several times to drink it and finally just threw it away - and I'm really tight with the dollar!",
deliberation-sarcasm,19229,breadth,"Product: Brooklyn's Finest (DVD)Review Title: ""A MISERABLE AND DEPRESSING PIECE OF WORK.""This movie has no redeeming or inspiring quality. It is just a two hour marathon of depression. If you want to spoil your evening and experience depression this will do it. All you see is the disgusting side of things. Nothing good.",
deliberation-sarcasm,19232,breadth,"Product: Dunlop 2-Pack Egg ShakerReview Title: ""Mike it""Good for basic rythmn, but you'll never hear these in a live setting, unless you mike them.  Be like Mick Jaggar and get the really big gord models or better yet, some plastic or rawhide model, or a cylindrical shaker, you can at least hear them in the live setting.",
deliberation-sarcasm,19233,breadth,"Product: Dead in the Family (Sookie Stackhouse, Book 10) (Hardcover)Review Title: ""Horrible continuation...""How would I describe the plot in Dead in the Family?  Oh, right, there is no plot!  All you'll get is a series of choppy, unpolished storylines mixed with brief appearances from the large number of characters in this book.  Sookie sighing over Eric, Sookie unsure of where she stands with Bill, something or other about Alcide and the werewolves, dealing with a suspicious fairy triplet, and so on and so forth.  None of it serves a purpose.  This is always a problem authors face when they're forced to extend a series once it becomes successful: the overlapping of characters and subplots become so overwhelming that they don't know what to do with them.  Laurell K. Hamilton, Jim Butcher and Kelley Armstrong suffer from the same thing.  It's time for Ms. Harris to put this series to rest.  Now that Alan Ball has adapted this story for the HBO series, I am actually enjoying that more than the books.  All I can do is thank Harris for writing this, for the TV series wouldn't exist if she hadn't started this.  Funny, but when I read her books years before the TV show was even planned, I wouldn't have pictured myself giving up on it.  Unfortunately, it has reached my limit. Now I'm off to watch True Blood.",
deliberation-sarcasm,19236,breadth,"Product: Firefly - The Complete Series (DVD)Review Title: ""You can't take the skies from me""Firefly was a show that came on the heels of Fox's usual brilliant decision-making--right after it cancelled my beloved Dark Angel.  I first thought this show would be awful, but I sat down and watched it--and it was love.  Truly.  It's rare to find a show that can be taken seriously that also made me laugh out loud in every episode.  The writing was extraordinary, and the actors/actresses were absolute gold.  It was really like watching a movie each time around.  Yet again, Fox shot itself in the foot and iced another good show.  Nonetheless, at least the DVD is soon to come.  At least they had the decency to do that.  Come on, sing it with me: ""Take my love, take my land, take me where I cannot stand.  But I don't care--I'm still free.  You can't take the skies from me...""",
deliberation-sarcasm,19242,breadth,"Product: Toilet Paper Origami: Delight your Guests with Fancy Folds & Simple Surface Embellishments or Easy Origami for Hotels, Bed & Breakfasts, Cruise Ships & Creative Housekeepers (Crafts/Towel Folding) (Paperback)Review Title: ""Touchy, feely and not good for the environment.""Very nice folds, and creative too....but who wants to use something that has been touched and folded a dozen times by another person's hands?! Stick to napkins and towels, or the very basic of toilet paper folds. To say nothing of the environmental impact of all the extra toilet paper used.",
deliberation-sarcasm,19244,breadth,"Product: HP DeskJet F4480 Inkjet All-in-One Printer (CB745A#B1H) (Electronics)Review Title: ""caveat emptor!""A nice printer rendered nearly useless by 2 reasons (so far) to hate this thing, had it about 2 weeks. #1: snatches paper like a starving man grabbing bread. Has snarled EVERY sheet of glossy brochure paper I've fed it! #2: Who wrote the software, a pinhead? If you remove a paper jam (see #1), or even do something as simple as replacing a cartridge, it signals ""no paper fed"" and then you have to print whatever it wanted like it or not, or fight with it by unplugging, turning off & on, turning pc off & back on, etc. etc. and it still doesn't always reset. I am just about to throw it through the wall! Update: two weeks later, after two printers and over 2 hours on the phone just now with amazon & hp, I can guarantee you I will never buy another HP product. Never. Ever.",
deliberation-sarcasm,19245,breadth and depth,"Product: Full Bar (Health and Beauty)Review Title: ""Squirrel's love 'em!""Make no mistake, this is a candy bar masquarading as a nutrition bar.  With whopping 9 grams of sugar ( 45 calories ) almost 1/3 of the calories in total, you'll have a much more pleasant experience having a small candy bar.  I found the taste and texture so awful I had to spit it out.  To the delight of my squirrel friends, I tossed the rest of the bar outside where they promptly gobbled it up.  This is a gimmick created by this Dr. for cash purposes.  If he's such a great diet Dr., why doesn't he recommend you eat plain nuts?  An apple?  A yogurt?  There is nothing magical about this bar - eat ANYTHING that contains 170 calories with a glass of water a half hour before your meal and you'll probably be just as full.",
deliberation-sarcasm,19246,breadth,"Product: Panasonic ER421KC Nose and Ear Hair Trimmer, Wet/Dry, Lighted (Health and Beauty)Review Title: ""Use a scissors.  This trimmer is junk.""I don't know what kind of hair this trimmer is supposed to cut, but it don't cut mine.  You can stick it in your nose until the battery dies (which actually is not such a long time), and you won't cut as much hair as you could with a pair of scissors in 10 seconds.  There's just no comparison.  This trimmer makes a lot of noise and painfully tugs on hairs, but it's all sound and fury.  Nothing much happens.  So, I'd say that unless you have tremors or something, you'd be much better off with a $3-pair of manicure scissors.  Do the job in 10 seconds.",
deliberation-sarcasm,19247,breadth,"Product: Raider Deluxe Gloss Black Medium Helmet (Automotive)Review Title: ""Not A Good Helmet!""I bought this helmet to use for a second rider on my motorcycle. It's only good for that if you don't like your rider. It is not very well made, it runs small and the shell feels like it would crack if you dropped it. Didn't give me a whole lot of confidence that it would protect someones head in an accident. But considering the price, I guess you really can't expect to much.  I would only recommend you use this helmet if you are riding a scooter or moped that doesn't get up to highway speeds.",
deliberation-sarcasm,19250,breadth,"Product: The Da Vinci Code (Mass Market Paperback)Review Title: ""NOT LITERATURE, BUT A GREAT BUSINESS MODEL""I hear this novel has sold over 6,000,000 copies.  Mr. Brown is no doubt pleased, and loses little sleep over the possibility that in six years no one will be reading his blockbuster.  He has his villa on the Riviera, if he wants it.  I do not wish to disparage his talents.  Suppose you wish to write such a novel and have in mind several characters.  Character A (a handsome American, by the way)is perhaps the world's leading authority on, say, symbolism.  Character B (beautiful by the way) is a brilliant young French cryptologist.  Character C (incredibly wealthy and charming)is an eccentric old English peer who happens to have spent his entire life studying early Christian exotica, including secret societies and the legend of the Holy Grail.  Fate throws them together one dark and stormy night in Europe.  The action is precipitated by character D, a hulking religious albino homicidal maniac who wears a monk's robe and favors barbed wire garters.  He is a (fictitious) postulant in service to Opus Dei (God's work), an arch-conservative semi-secret Catholic sect that is obviously up to no good --desiring, as they do, to crank the wayward church of today back a thousand years or so to when Christians really knew how to suffer. D is not the villain, by the way, and his passion for slaying is excused by the fact that when a kid, other kids teased him about his size and lack of pigmentation.  Okay, now you have four highly original characters, and an opening sequence in which, it turns out, several perfectly nice and distinguished old fellows are murdered by the monk.    Where do you go now?  Well, in this enlightened age, you know how readers love books that moon religion, and especially if the moon-ee is the once venerable but now scandalized Catholic Church.  But you can't just make stuff up, at least not all of it, so you have to do some hard work called research, or hire someone to do it.  What you dig up does not have to be entirely true, as long as it is interesting, especially if it is a little titillating to one's baser instincts.  History being what it is, and humans being who we are, you will discover a number of unsavory truths mixed in with a larger number of equally unsavory untruths, rumors, suspicions, legends, and valid questions.  As a creative person endowed with artistic license, you may crayola some of these tidbits to make them even more delicious, if not salacious. This is called ""mining the vein of history.""  If you are diligent and blessed with a certain intelligence, you will, out of this stew of possibles, come up with a substory that is so gripping, so bizarre, so full of lust and corruption that few will not want to hear of it.  More work is ahead, for your true genius is revealed in how you plot the story.  When is ""fact"" X, hinted at or revealed, and by whom or what?  Character A knows much, but not enough; enter character B, to complement A's knowledge.  Even the two are still insufficient (although they are falling in love).  Alas, even the vast erudition of C leaves us wanting.  Read on!  Read on!   Maybe, dear reader, after I don't know how many hundreds of pages, you get tired of the author's continuously advancing carrot and you flip to the final pages to find the final answer.  Then you might wish to turn to another novel about real people in a real world, such as A month in the Country, by J. L. Carr",
deliberation-sarcasm,19251,breadth,"Product: Toilet Paper Origami: Delight your Guests with Fancy Folds & Simple Surface Embellishments or Easy Origami for Hotels, Bed & Breakfasts, Cruise Ships & Creative Housekeepers (Crafts/Towel Folding) (Paperback)Review Title: ""Toilet Paper Origami Review""A neighbor shared this book with me. I made several of the easy patterns and fell in love with it.  We gave it as a Christmas present to several friends and relatives and they were delighted with it. The directions are easy to follow. This would be a great project book for kids for cheap mother's day presents. I loved it!",
deliberation-sarcasm,19252,breadth and depth,"Product: Norcross Hawkeye H22PX Sonar System (Electronics)Review Title: ""portable  depth finder needs to be in water.""The product description does not indicate that the product must be in the water to function, ie; if it is used in a boat it is recomended that the depth finder be placed in a plastic bag filled with water then placed against the hull for a ""through the hull reading"" it appears this product would work fine if your vessel was sinking. This product might work fine if you boat is built close to the water so you can drag it along by hand. It appears this product is an underwater transducer attached to the readout. To be fair, this product would probably work fine for swiming and diving but living in Michigan that is a few months away. It appears to be well built for it's intended use as an underwater instrument.",
deliberation-sarcasm,19256,breadth and depth,"Product: Firefly: The Complete Series [Blu-ray] (Blu-ray)Review Title: ""Seriously lame""I don't understand why anybody thinks this is at all good.  I'm a sci-fi geek through and through, from all the Star Treks, both BSG's, all the Stargates, Babylon 5 (and it's ill-fated spinoff Crusade), I'm usually cool with anything in space.  But my god.  Ridiculous? Awful? Cause of severe eye-bleeding? I'm not sure how I can really describe this show.  I probably even managed to make it through half the episodes without knowing or caring who was doing what before I gave up and sold it on here to some poor misguided soul. The acting is bad.  So is the writing.  And the western style is absurd.  Why in the H would people redevelop western accents?  Is the medieval British accent making a comeback? The whole thing is just a complete waste of a show.",
deliberation-sarcasm,19257,breadth,"Product: The Blind Side (DVD)Review Title: ""Blind Sided""Yes, the STORY itself is great. The Tuohys should be commended and I am glad they made the film to bring awareness to that. I do like Sandra in it, but was it an Oscar-worthy performance? No. (as a comparison Julia Roberts' performance as Erin Brockovich was far superior) And to put that little kid front and center like that through the whole thing with his over-acting was a total distraction, unrealistic, and annoying. He was the Jar-Jar Binks of the movie for sure. And riiiiiiiiight...this little kid coached Mike making him the great football player that he is because a first grader knows more about football than any real coach does. Sure. Whatever. And TIM MCGRAW in a lead role? Who came up with that idea? Something tells me he didn't show up at the casting call and beat out everyone else out because he's a better actor than all the real actors out there. He's a country western SINGER with NO acting experience (or ability) as I found out from watching this movie. I also find it HARD to believe that she would just be able to yell at some bigoted redneck in the stands and drug dealers and have NO consequences for that at all. Yeah, I'm gonna drive my 7-Series BMW to the drug-dealer hang out, get out dressed in diamonds and expensive clothes and threaten drug dealers who kill people on a regular basis all by myself, get in all of their faces and tell them I have a gun in my $800 Gucci bag and just shut them all down verbally because I'm just ALL THAT? Uh huh. Right.",
deliberation-sarcasm,19260,breadth and depth,"Product: The Fame (Audio CD)Review Title: ""Success does not equal quality!!""Try, if you can, to put to one side GaGa's irritating self-obsession and her ridiculous delusion that she's somehow in on a 'party' and is 'sharing it' with us lowly non-famous people, and let's look at the album on it's own merits. Surely it can't be THAT bad, right? She has credentials, after all. She's worked with some respectable collaborators, after all. She can hold a note, after all.  Sadly, none of this seems to have counted for much at all. What we have here is the very worst pop sludge, making it's ugly way off the predictable, unoriginal treadmill of weak pop music and into the mindset of the hysterical masses, whose purchases and subsequent success of that which they purchase fool both consumer and artist alike into attributing far more quality to a product like this than it actually warrants.  Put simply, this is rubbish. Over indulgent, shallow and completely inconsequential rubbish of the kind we'll look back at in five years time and wonder what on earth so many people were thinking by buying it in large quantities. Presumably GaGa knows this already, hence her insistence on dribbling out barely coherent concepts of her fans being 'part of her lifestyle' (as if it's in any way desirable), and distracting us by flashing her body as if it adds anything other than something most women will cringe at and be rightly embarssed for her about.  Given her past contacts, this really is unforgivable tripe. Its success is no justification for it's supposed quality. We all know that if the sheep are spoon-fed something and told it's good by radio stations and celebrity magazines, they'll inevitably lap it up thoughtlessly. Given how many artists are actually putting out decent music that gets overlooked because some trumped up nobody with favourable contacts and a good body puts out garbage like this, it's a real tragedy that everything other than quality seems to be the criteria that measures success.",
deliberation-sarcasm,19261,breadth and depth,"Product: The Twilight Saga: New Moon (Video On Demand)Review Title: ""Boring, boring, boring""I'm 45 minutes into this film and can't think of any good reason to finish watching it. There is NO STORY. Belle is pining for Edward and fixing a motorcycle. Wow, I'm on the edge of my seat. I've never been able to see what the young ladies see in Robert Pattinson, and this makes me wonder even more. But to each his (or in this case, her) own. The only thing keeping me in suspense is when does Taylor Lautner cut his hair? If you're a fan of the series or fan because all your other friends are gaga for this series, then watch it, otherwise, catch up on any missed episodes of Buffy. She's far more entertaining.",
deliberation-sarcasm,19262,breadth,"Product: Slap Chop (Kitchen)Review Title: ""Pretty good""Works fairly well, just a little dangerous to clean. But, it was fun to pound on the knob and see the results.",
deliberation-sarcasm,19264,breadth,"Product: Superunknown (Audio CD)Review Title: ""Boring and polished""Well, this is a record I heard daily in the spring days of 1994, but now, let's say it's some of the records I don't want to let any of my friends know I have. After the excellent ULTRAMEGA OK (just the title says all) and  the less excellent Badmotorfinger this must be considered as the complete  sell-out! The only really cool track is Ben Shepherd's ""Half"". I  can't help thinking of pop-grunge fourteen year old girls with pierced  noses when I hear ""Black Hole Sun"". Sad.",
deliberation-sarcasm,19265,breadth,"Product: Mighty Putty 3-Pack (Kitchen)Review Title: ""Great for children!""My children are always complaining about eating that or saying that. It get's seriously annoying and Mighty putty claims to fix leaks, so I put it to the test and now I can drive hour long car rides with little to no problem.",
