DATA_ID,DATASET,ANNOTATOR_ID,STUDY_PART,ORDER,LABEL_ID,ORIGINAL_LABEL,ORIGINAL_CONFIDENCE,EVIDENCE,QUESTION_DO_YOU_THINK_OTHER_PEOPLE_MIGHT_CHOOSE_A_DIFFERENT_ANSWER_THAN_YOU_DID,QUESTION_WHY_DO_YOU_THINK_OTHER_PEOPLE_MIGHT_CHOOSE_A_DIFFERENT_ANSWER,QUESTION_PLEASE_ELABORATE_ON_YOUR_ANSWER_TO_THE_PREVIOUS_QUESTION_EXPLAINING_WHY_YOU_THINK_OTHER_PEOPLE_MIGHT_CHOOSE_A_DIFFERENT_ANSWER,QUESTION_IF_THERE_WERE_OTHER_PEOPLE_WHO_CHOSE_A_DIFFERENT_ANSWER_THAN_YOU_DID_DO_YOU_THINK_A_GROUP_DISCUSSION_WOULD_HELP_TO_RESOLVE_THE_CASE,DELIBERATION_ID
19179,deliberation-sarcasm,1571,breadth,22,5368,not_sarcastic,1,"[{""comment"": """", ""start"": 427, ""end"": 486, ""quote"": ""I am a member of CMA and would use this as an outreach tool""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,309,breadth,12,5300,not_sarcastic,0.5,"[{""comment"": """", ""start"": 427, ""end"": 486, ""quote"": ""I am a member of CMA and would use this as an outreach tool""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,474,depth,16,3983,sarcastic,1,"[{""comment"": """", ""start"": 283, ""end"": 374, ""quote"": ""I gave one to my church to help reach  young people that might otherwise not pickup a bible""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,1727,breadth,7,6799,not_sarcastic,1,"[{""comment"": ""This clearly shows a positive review "", ""start"": 201, ""end"": 281, ""quote"": ""They were impressed with the stories of the race drivers they found in the bible""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,887,breadth,19,5344,not_sarcastic,0.5,"[{""comment"": ""very straightforward"", ""start"": 285, ""end"": 430, ""quote"": ""gave one to my church to help reach  young people that might otherwise not pickup a bible. I wish they would make one for motorcycle riders.  I a""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,4146,depth,16,4007,not_sarcastic,0.5,"[{""comment"": ""This sounds like a sincere comment without any sarcasm."", ""start"": 283, ""end"": 374, ""quote"": ""I gave one to my church to help reach  young people that might otherwise not pickup a bible""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,479,breadth,14,5320,not_sarcastic,1,"[{""comment"": ""very tame, not sarcastic"", ""start"": 120, ""end"": 281, ""quote"": ""I bought these bibles to give as gifts to my friends that love stock car racing. They were impressed with the stories of the race drivers they found in the bible""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,325,breadth,10,5185,not_sarcastic,1,[],I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,2876,breadth,24,5805,not_sarcastic,1,"[{""comment"": ""Just straightforward opinion. "", ""start"": 201, ""end"": 281, ""quote"": ""They were impressed with the stories of the race drivers they found in the bible""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,3546,depth,16,3961,sarcastic,0,"[{""comment"": ""This whole review seems not serious and is very puzzling, like an inside joke. Sarcasm."", ""start"": 376, ""end"": 424, ""quote"": ""I wish they would make one for motorcycle riders""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,8417,breadth,16,6052,not_sarcastic,0.5,"[{""comment"": ""This title like the rest of the review is very matter of fact."", ""start"": 64, ""end"": 118, ""quote"": ""Gave as a gift to a friend that loves stock car racing""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,597,breadth,11,5702,not_sarcastic,1,"[{""comment"": ""hes talking about good things he has done for people and his church"", ""start"": 283, ""end"": 374, ""quote"": ""I gave one to my church to help reach  young people that might otherwise not pickup a bible""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,3834,depth,17,7893,not_sarcastic,1,"[{""comment"": ""Gave as a gift to a friend that loves stock car racing.\"""", ""start"": 64, ""end"": 120, ""quote"": ""Gave as a gift to a friend that loves stock car racing.\""""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,909,breadth,12,8091,not_sarcastic,0.5,"[{""comment"": ""No sarcasm, just honesty. "", ""start"": 376, ""end"": 424, ""quote"": ""I wish they would make one for motorcycle riders""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,6368,breadth,7,6788,not_sarcastic,1,"[{""comment"": """", ""start"": 427, ""end"": 486, ""quote"": ""I am a member of CMA and would use this as an outreach tool""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,1080,depth,16,3963,not_sarcastic,1,"[{""comment"": ""There's just no sarcasm in this review at all, it's just a straight forward user review."", ""start"": 283, ""end"": 486, ""quote"": ""I gave one to my church to help reach  young people that might otherwise not pickup a bible. I wish they would make one for motorcycle riders.  I am a member of CMA and would use this as an outreach tool""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,2988,depth,19,8007,not_sarcastic,1,"[{""comment"": ""wants more people to read the bible "", ""start"": 120, ""end"": 281, ""quote"": ""I bought these bibles to give as gifts to my friends that love stock car racing. They were impressed with the stories of the race drivers they found in the bible""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,1418,breadth,12,5279,not_sarcastic,0.5,"[{""comment"": """", ""start"": 120, ""end"": 199, ""quote"": ""I bought these bibles to give as gifts to my friends that love stock car racing""}]",I expect most people to agree with me.,,,,
19180,deliberation-sarcasm,5166,depth,15,4312,sarcastic,1,"[{""comment"": ""sarcastic here"", ""start"": 618, ""end"": 732, ""quote"": ""All they need to send with it is a bottle of Red Kool-Aid and you are set for your 100% authentic Cult experience!""}]",I expect most people to agree with me.,,,,
19180,deliberation-sarcasm,1711,depth,15,4327,sarcastic,1,"[{""comment"": ""this is obviously sarcasm because later in the text he indicates how much he doesn't like it."", ""start"": 337, ""end"": 458, ""quote"": ""Now with the Snuggie I can answer the phone while on the sofa watching TV at 1AM!  THANK YOU SNUGGIE FOR SAVING MY LIFE!!""}]",I expect most people to agree with me.,,,,
19180,deliberation-sarcasm,8380,depth,15,4339,sarcastic,1,"[{""comment"": ""This is already fairly sarcastic"", ""start"": 60, ""end"": 102, ""quote"": ""It's a LIFESAVER....well...maybe...not...\""""}, {""comment"": ""This is pretty blatant sarcasm"", ""start"": 420, ""end"": 458, ""quote"": ""THANK YOU SNUGGIE FOR SAVING MY LIFE!!""}]",I expect most people to agree with me.,,,,
19180,deliberation-sarcasm,165,depth,15,4359,sarcastic,1,"[{""comment"": ""It didn't really save their life."", ""start"": 420, ""end"": 458, ""quote"": ""THANK YOU SNUGGIE FOR SAVING MY LIFE!!""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,4080,depth,22,7979,not_sarcastic,1,"[{""comment"": """", ""start"": 2041, ""end"": 2123, ""quote"": ""and I'll be returning it tomorrow morning, after only owning it for about 18 hours""}, {""comment"": """", ""start"": 1245, ""end"": 1397, ""quote"": ""When I viewed the \""Read Me\"" file on this thing, and came to the section about \""Known Bugs\"", I about had a heart attack at all of the problems this thing""}, {""comment"": """", ""start"": 179, ""end"": 245, ""quote"": ""Once I saw the experiences the other buyers had had, I was nervous""}, {""comment"": """", ""start"": 511, ""end"": 568, ""quote"": ""I would have figured that I had just done something wrong""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,6368,breadth,25,6843,not_sarcastic,1,"[{""comment"": """", ""start"": 927, ""end"": 1172, ""quote"": ""Another thing about the gamepad is that, although I tried it in the store, to get a feel for it, I decided rather quickly that, regardless of how it worked, it just wasn't right for my small hands (I'm female, and have exceptionally small hands)""}, {""comment"": """", ""start"": 1824, ""end"": 1998, ""quote"": ""I'm not by any means an extremely serious gamer with unrealistically high expectations for my equipment; I just like to play sometimes, and want moderately sufficient results""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,3538,breadth,3,5963,not_sarcastic,0.5,"[{""comment"": ""Person is just unhappy with the product."", ""start"": 2001, ""end"": 2123, ""quote"": ""This controller came nowhere near that, and I'll be returning it tomorrow morning, after only owning it for about 18 hours""}]",I expect only about half of the people to agree with me.,"[""Other people may have different definitions of the target categories in mind."", ""Someone with more experience or expertise may see or understand something about the text that I don't.""]", because their defintion of sarcastic might be different from mine.,"No, a group discussion would not help to resolve the case.",360
19181,deliberation-sarcasm,4454,depth,12,7898,not_sarcastic,0.5,"[{""comment"": ""not sarcastic"", ""start"": 1824, ""end"": 2123, ""quote"": ""I'm not by any means an extremely serious gamer with unrealistically high expectations for my equipment; I just like to play sometimes, and want moderately sufficient results.  This controller came nowhere near that, and I'll be returning it tomorrow morning, after only owning it for about 18 hours""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,744,breadth,2,5609,sarcastic,1,"[{""comment"": """", ""start"": 1706, ""end"": 1821, ""quote"": ""Erm, sure; I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,8455,breadth,13,6814,not_sarcastic,1,"[{""comment"": ""He truly means what he's saying."", ""start"": 1824, ""end"": 2123, ""quote"": ""I'm not by any means an extremely serious gamer with unrealistically high expectations for my equipment; I just like to play sometimes, and want moderately sufficient results.  This controller came nowhere near that, and I'll be returning it tomorrow morning, after only owning it for about 18 hours""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,3546,depth,12,3939,sarcastic,0.5,"[{""comment"": ""This is clearly sarcasm. The writer does not truly mean this and is saying this to be critical."", ""start"": 1706, ""end"": 1821, ""quote"": ""Erm, sure; I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,1175,depth,12,3968,not_sarcastic,0.5,"[{""comment"": ""clear information"", ""start"": 96, ""end"": 116, ""quote"": ""Complete Garbage...\""""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,2087,depth,14,7772,sarcastic,1,"[{""comment"": """", ""start"": 1706, ""end"": 1821, ""quote"": ""Erm, sure; I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,2876,breadth,2,5597,sarcastic,0.5,"[{""comment"": ""This is sarcastic because the person brings in the fact that the solution to the product problem is to wait and she mentions something from the gameplay that is striking. "", ""start"": 1706, ""end"": 1821, ""quote"": ""Erm, sure; I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,238,depth,12,3945,not_sarcastic,0.5,"[{""comment"": ""Definite sarcasm here. "", ""start"": 1706, ""end"": 1821, ""quote"": ""Erm, sure; I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,8417,breadth,3,5958,sarcastic,0.5,"[{""comment"": ""Makes an exaggeration of a physical reaction to a problem."", ""start"": 1337, ""end"": 1363, ""quote"": ""I about had a heart attack""}, {""comment"": ""Very sarcastic here."", ""start"": 1717, ""end"": 1821, ""quote"": ""I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect only about half of the people to agree with me.,"[""The text contains some features that indicate target category A and some features that indicate target category B.""]", The text is long and subtle sarcasm might be missed.,"Yes, a group discussion would help to resolve the case.",361
19181,deliberation-sarcasm,8372,depth,12,3948,not_sarcastic,1,"[{""comment"": """", ""start"": 2045, ""end"": 2123, ""quote"": ""I'll be returning it tomorrow morning, after only owning it for about 18 hours""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,1401,breadth,3,5960,sarcastic,0.5,"[{""comment"": ""this is sarcastic "", ""start"": 1706, ""end"": 1821, ""quote"": ""Erm, sure; I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}, {""comment"": ""definitely sarcastic"", ""start"": 1419, ""end"": 1504, ""quote"": ""After every single bug listed, they gave a completely lame, unsatisfactory \""solution\""""}, {""comment"": ""very sarcastic"", ""start"": 1706, ""end"": 1821, ""quote"": ""Erm, sure; I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect only about half of the people to agree with me.,"[""Other people may have different definitions of the target categories in mind.""]", i feel like some people will see it as serious but i think the reviewer is being sarcastic and making a joke.,"Yes, a group discussion would help to resolve the case.",360
19181,deliberation-sarcasm,4146,depth,12,3950,sarcastic,1,"[{""comment"": ""Mocking the game controls with sarcasm."", ""start"": 1706, ""end"": 1821, ""quote"": ""Erm, sure; I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,474,depth,12,3958,not_sarcastic,1,"[{""comment"": """", ""start"": 1824, ""end"": 2123, ""quote"": ""I'm not by any means an extremely serious gamer with unrealistically high expectations for my equipment; I just like to play sometimes, and want moderately sufficient results.  This controller came nowhere near that, and I'll be returning it tomorrow morning, after only owning it for about 18 hours""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,1265,depth,12,3953,not_sarcastic,1,"[{""comment"": """", ""start"": 1824, ""end"": 1998, ""quote"": ""I'm not by any means an extremely serious gamer with unrealistically high expectations for my equipment; I just like to play sometimes, and want moderately sufficient results""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,1571,breadth,10,5093,not_sarcastic,1,"[{""comment"": """", ""start"": 2001, ""end"": 2123, ""quote"": ""This controller came nowhere near that, and I'll be returning it tomorrow morning, after only owning it for about 18 hours""}]",I expect most people to agree with me.,,,,310
19181,deliberation-sarcasm,8423,breadth,20,5397,sarcastic,1,"[{""comment"": ""Mocking."", ""start"": 1706, ""end"": 1821, ""quote"": ""Erm, sure; I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,456,breadth,2,5636,not_sarcastic,1,"[{""comment"": ""Normal review"", ""start"": 2045, ""end"": 2123, ""quote"": ""I'll be returning it tomorrow morning, after only owning it for about 18 hours""}]",I expect most people to agree with me.,,,,341
19181,deliberation-sarcasm,489,breadth,3,5965,sarcastic,1,"[{""comment"": """", ""start"": 1706, ""end"": 1821, ""quote"": ""Erm, sure; I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect most people to agree with me.,,,,360
19181,deliberation-sarcasm,8426,breadth,12,5490,not_sarcastic,0.5,"[{""comment"": """", ""start"": 394, ""end"": 717, ""quote"": ""The D pad wouldn't work, despite the fact that I had downloaded the XP software.  If this had been the only problem, I would have figured that I had just done something wrong, but the joysticks were awful!  Half the time, I would move the joystick up, to move forward, and when I released it my character kept going forward""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,952,depth,17,6620,not_sarcastic,1,"[{""comment"": ""The reviewer had numerous problems with the controller and decided to return the product."", ""start"": 2045, ""end"": 2123, ""quote"": ""I'll be returning it tomorrow morning, after only owning it for about 18 hours""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,857,breadth,3,5941,sarcastic,0.5,"[{""comment"": """", ""start"": 1717, ""end"": 1821, ""quote"": ""I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect most people to agree with me.,,,,361
19181,deliberation-sarcasm,8414,breadth,28,5418,sarcastic,1,"[{""comment"": ""Definitely sarcasm"", ""start"": 1717, ""end"": 1821, ""quote"": ""I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,2126,breadth,26,8128,not_sarcastic,1,"[{""comment"": """", ""start"": 1824, ""end"": 1927, ""quote"": ""I'm not by any means an extremely serious gamer with unrealistically high expectations for my equipment""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,5917,breadth,15,8089,sarcastic,1,"[{""comment"": ""clear sarcasm"", ""start"": 1717, ""end"": 1821, ""quote"": ""I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,55,depth,17,8019,not_sarcastic,1,"[{""comment"": """", ""start"": 1824, ""end"": 2123, ""quote"": ""I'm not by any means an extremely serious gamer with unrealistically high expectations for my equipment; I just like to play sometimes, and want moderately sufficient results.  This controller came nowhere near that, and I'll be returning it tomorrow morning, after only owning it for about 18 hours""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,2817,breadth,10,5149,sarcastic,1,"[{""comment"": """", ""start"": 476, ""end"": 568, ""quote"": ""If this had been the only problem, I would have figured that I had just done something wrong""}]",I expect most people to agree with me.,,,,310
19181,deliberation-sarcasm,3906,breadth,2,5213,sarcastic,0.5,"[{""comment"": """", ""start"": 1337, ""end"": 1821, ""quote"": ""I about had a heart attack at all of the problems this thing is \""known\"" to have!  After every single bug listed, they gave a completely lame, unsatisfactory \""solution\"".  For instance, one bug said that games often take a moment to respond to input from the controller.  Their solution? \""Please wait a moment after each button click, to give the game time to respond\"".  Erm, sure; I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect only about half of the people to agree with me.,"[""The text is ambiguous because of missing context."", ""The text contains some features that indicate target category A and some features that indicate target category B.""]", might not have been a valid argument for her to been snakly from,"No, a group discussion would not help to resolve the case.",310
19181,deliberation-sarcasm,8432,breadth,3,5917,not_sarcastic,1,"[{""comment"": ""personal preference."", ""start"": 927, ""end"": 1242, ""quote"": ""Another thing about the gamepad is that, although I tried it in the store, to get a feel for it, I decided rather quickly that, regardless of how it worked, it just wasn't right for my small hands (I'm female, and have exceptionally small hands).  I can't call this a complaint, just a matter of personal preference""}]",I expect most people to agree with me.,,,,361
19181,deliberation-sarcasm,1080,depth,12,3954,sarcastic,1,"[{""comment"": ""He felt their solution was silly and sarcastically stated why that would be a problem."", ""start"": 1607, ""end"": 1821, ""quote"": ""Their solution? \""Please wait a moment after each button click, to give the game time to respond\"".  Erm, sure; I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,597,breadth,2,5558,sarcastic,1,"[{""comment"": ""its sarcastic because in a game you should not have to wait after a click for something to happen"", ""start"": 1717, ""end"": 1821, ""quote"": ""I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect most people to agree with me.,,,,341
19181,deliberation-sarcasm,479,breadth,15,5321,not_sarcastic,0.5,"[{""comment"": ""this is negative but not sarcastic"", ""start"": 927, ""end"": 1242, ""quote"": ""Another thing about the gamepad is that, although I tried it in the store, to get a feel for it, I decided rather quickly that, regardless of how it worked, it just wasn't right for my small hands (I'm female, and have exceptionally small hands).  I can't call this a complaint, just a matter of personal preference""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,8496,depth,12,7687,sarcastic,1,"[{""comment"": ""It was so bad she felt like it was a heart attack."", ""start"": 1337, ""end"": 1416, ""quote"": ""I about had a heart attack at all of the problems this thing is \""known\"" to have""}, {""comment"": ""She can't actually stop the orcs from attacking her."", ""start"": 1717, ""end"": 1821, ""quote"": ""I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,8407,breadth,3,5938,not_sarcastic,1,"[{""comment"": """", ""start"": 476, ""end"": 599, ""quote"": ""If this had been the only problem, I would have figured that I had just done something wrong, but the joysticks were awful!""}]",I expect most people to agree with me.,,,,
19181,deliberation-sarcasm,3519,breadth,2,5638,sarcastic,1,"[{""comment"": ""This is clearly sarcastic and speaking to the fact that these problems make games unplayable. "", ""start"": 1717, ""end"": 1821, ""quote"": ""I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem""}]",I expect most people to agree with me.,,,,341
19182,deliberation-sarcasm,5166,depth,13,4310,not_sarcastic,1,"[{""comment"": ""no sarcasm"", ""start"": 136, ""end"": 254, ""quote"": ""They now make a silicone cover for Sonicare toothbrushes. Mine kept getting this gunk inside the head and it was gross""}]",I expect most people to agree with me.,,,,
19182,deliberation-sarcasm,8380,depth,13,4320,not_sarcastic,0,"[{""comment"": ""Seems factual."", ""start"": 194, ""end"": 254, ""quote"": ""Mine kept getting this gunk inside the head and it was gross""}]",I expect most people to agree with me.,,,,
19182,deliberation-sarcasm,1711,depth,13,4306,not_sarcastic,1,"[{""comment"": ""clearly they like it."", ""start"": 118, ""end"": 136, ""quote"": ""A MUST HAVE COVER\""""}]",I expect most people to agree with me.,,,,
19182,deliberation-sarcasm,165,depth,13,4357,not_sarcastic,1,"[{""comment"": ""They are just stating their experience"", ""start"": 194, ""end"": 254, ""quote"": ""Mine kept getting this gunk inside the head and it was gross""}]",I expect most people to agree with me.,,,,
